HAC123	319.04398	3.29346	17.084	0.12	18.37	53479.19663	0.4649876	54.5847620049	-29.8924550028
HAC124	319.04539	-6.96965	17.226	0.257	18.51	53705.20153	0.5146908	44.1734329924	-35.2330278896
HAC125	319.08486	-7.44457	17.174	0.238	18.24	53704.90715	0.4967108	43.6833516126	-35.492551804
HAC126	319.16495	-5.06297	16.939	0.154	16.99	53705.45256	0.6054819	46.2746761703	-34.4118719393
HAC127	319.28459	-12.75058	17.037	0.109	18.16	53705.41691	0.533345	37.8585459656	-38.028768293
HAC128	319.34853	-4.30411	17.016	0.117	18.07	53704.96612	0.6302655	47.1816142729	-34.1926688438
HAC129	319.39908	-8.86114	17.184	0.27	18.04	53705.29859	0.5091888	42.3127866371	-36.4267823412
HAC130	319.42985	-8.88785	17.22	0.266	18.38	53705.17807	0.5744386	42.300601514	-36.4660456477
HAC131	319.47630	-0.28230	16.888	0.111	17.11	53482.29667	0.6488838	51.3697620635	-32.2139965696
HAC132	319.48191	-12.80151	16.79	0.108	16.3	53704.67347	0.6227709	37.9015455905	-38.2249335973
HAC133	319.67273	-12.49502	17.197	0.109	19.69	53705.38912	0.643506	38.3551739744	-38.2659012514
HAC134	319.75259	-6.24453	17.205	0.252	18.39	53705.36827	0.5986178	45.3672930757	-35.5004589542
HAC135	320.04831	-14.85382	17.274	0.143	19.89	53705.88301	0.574063	35.7760828551	-39.5583998936
HAC136	320.15404	-13.95147	17.16	0.122	19.2	53704.69964	0.7548184	36.9003957991	-39.2929043197
HAC137	320.53671	0.27887	16.813	0.126	16.29	53481.88463	0.64699	52.6094590306	-32.8025820698
HAC138	320.61136	-12.25747	17.26	0.119	19.96	53705.28473	0.4916165	39.1264079838	-38.9966716992
HAC139	320.66874	-10.92959	17.031	0.099	18.18	53704.9136	0.5764353	40.6927222545	-38.4735101798
HAC140	320.91048	-4.74938	17.152	0.121	19.19	53705.89389	0.6336923	47.6675196495	-35.762462644
HAC141	321.14890	0.52408	17.225	0.115	19.75	53706.12241	0.5802046	53.2540892684	-33.1801376736
HAC142	321.18611	-19.57090	17.158	0.093	19.26	53561.38132	0.5526279	30.4776134537	-42.2817651127
HAC143	321.26158	-0.19488	16.887	0.094	17.19	53481.18586	0.6143017	52.6076656736	-33.6685324457
HAC144	321.29566	-2.76303	17.153	0.142	18.85	53481.95184	0.6639122	50.0007200479	-35.0710706262
HAC145	321.39780	-8.28595	16.706	0.113	15.55	53705.41665	0.540739	44.1041355373	-37.9098946278
HAC146	321.58984	-6.76279	17.194	0.159	19.04	53705.62017	0.5421806	45.9076268867	-37.3475542568
HAC147	321.63208	-7.22104	16.869	0.181	16.29	53705.52946	0.5743614	45.4282191348	-37.6064061878
HAC148	321.71218	-12.32174	16.964	0.093	17.67	53705.58105	0.5469852	39.6437509422	-39.997508403
HAC149	321.72240	-18.94439	16.899	0.081	17.25	53561.053	0.5487866	31.5069562793	-42.5488551748
HAC150	321.93246	-1.19725	16.789	0.098	16.26	53481.79405	0.5615498	52.0305531434	-34.7762568142
HAC151	322.14984	-16.79517	17.223	0.117	19.79	53704.60779	0.5845584	34.4219488108	-42.167647031
HAC152	322.18518	1.42297	16.785	0.091	16.31	53481.72728	0.5550181	54.8390119282	-33.5395822615
HAC153	322.20409	-13.66542	16.739	0.116	15.86	53705.89839	0.6196328	38.3023698007	-40.994907161
HAC154	322.21505	-16.21559	16.802	0.114	16.33	53705.50836	0.6049373	35.1779542317	-42.0093452451
HAC155	322.32382	-4.98834	17.014	0.098	18.08	53705.10002	0.5872153	48.296890348	-37.0980710814
HAC156	322.51882	-9.56508	16.775	0.086	16.21	53705.03906	0.5583326	43.3141415662	-39.485485106
HAC157	322.52563	-10.74815	16.926	0.104	17.45	53705.37645	0.6400168	41.946523394	-40.0280242473
HAC158	322.53194	-5.97973	16.904	0.097	17.27	53705.75889	0.6479567	47.3493779343	-37.7761356339
HAC159	322.57446	-15.79314	16.73	0.102	15.73	53704.80815	0.4901101	35.8814537369	-42.1682876566
HAC160	322.57989	-11.94701	17.031	0.101	18.19	53705.75714	0.5497577	40.5649743882	-40.6028701733
HAC161	322.71326	-16.64750	16.892	0.095	17.07	53705.63581	0.5705727	34.8783049466	-42.6141570289
HAC162	322.83971	-3.15650	17.109	0.082	19.03	53705.40367	0.5387751	50.5880940469	-36.5895553992
HAC163	322.84445	-10.13548	16.922	0.067	17.47	53704.85059	0.5328962	42.8453378872	-40.0317530561
HAC164	322.93963	-3.51959	17.217	0.071	19.94	53705.04085	0.5050921	50.2684198157	-36.8654876989
HAC165	322.94990	-18.43182	16.983	0.068	18.16	53561.99762	0.5454053	32.7105337011	-43.4654810895
HAC166	323.06172	-12.18240	16.823	0.11	16.58	53705.32969	0.5054071	40.5531505901	-41.1295063653
HAC167	323.06279	-5.55798	16.707	0.09	15.62	53705.33331	0.460838	48.1476851617	-38.0210881798
HAC168	323.24914	-12.77867	17.19	0.108	19.36	53705.28813	0.4657169	39.9392658286	-41.5497324662
HAC169	323.54580	-2.16656	16.98	0.099	17.64	53705.13136	0.4525278	52.1002893844	-36.6569264203
HAC170	323.58829	-3.36334	17.215	0.086	19.95	53705.26504	0.5854549	50.8629203564	-37.3332764082
HAC171	323.60156	-6.42850	17.06	0.081	18.65	53705.31056	0.6214766	47.5298226327	-38.9216001157
HAC172	323.83945	-12.45145	16.63	0.093	15.3	53706.15731	0.8871044	40.66521282	-41.9311850488
HAC173	323.87019	-13.34237	16.878	0.103	17.01	53705.83973	0.5732417	39.5940765056	-42.3357606361
HAC174	324.08304	-9.48389	17.065	0.073	18.83	53705.57727	0.6213225	44.3435824381	-40.8148923292
HAC175	324.19692	-16.61344	17.015	0.099	18.04	53705.41149	0.5969347	35.6488388642	-43.9208107639
HAC176	324.25267	-5.18006	17.143	0.09	19.14	53705.72713	0.5987952	49.3341807661	-38.8472175389
HAC177	324.46875	-2.25112	16.658	0.074	15.56	53705.30404	0.5819479	52.6386275541	-37.4774216017
HAC178	324.70867	-14.41802	16.794	0.092	16.36	53705.28575	0.5486321	38.7127145318	-43.520319522
HAC179	324.73023	-12.33178	16.763	0.107	16.0	53705.1913	0.6360223	41.3185093239	-42.66452293
HAC180	324.87052	-13.58887	16.689	0.087	15.76	53705.18424	0.6273136	39.8422903785	-43.322687582
HAC181	325.46313	-8.42692	17.08	0.074	18.83	53705.37092	0.5772869	46.4397726705	-41.5116541377
HAC182	325.66687	-9.32701	16.926	0.078	17.49	53705.82162	0.553881	45.5094545786	-42.1198941363
HAC183	325.80439	-12.78079	17.166	0.081	19.6	53550.48275	0.6069066	41.3840158952	-43.8040896331
HAC184	326.12263	-7.48780	16.765	0.067	16.19	53705.29859	0.4620263	47.9619397847	-41.6189671215
HAC185	326.27618	-12.72231	16.627	0.074	15.24	53705.16985	0.5269956	41.7333064729	-44.193999329
HAC186	326.30781	-8.36740	16.795	0.084	16.29	53705.40113	0.5202272	47.0556184325	-42.2126952111
HAC187	326.84268	-2.69905	16.778	0.08	16.34	53705.79799	0.5722647	53.8274025713	-39.7051167512
HAC188	327.13416	-11.33910	17.211	0.087	19.89	53704.80951	0.6365757	43.9841455223	-44.3328731944
HAC189	327.16776	-3.46159	16.605	0.053	15.36	53705.28896	0.5855463	53.2300694125	-40.3963290743
HAC190	327.19132	-10.10343	17.141	0.076	19.32	53705.6931	0.5431754	45.5451094203	-43.8110105957
HAC191	327.28944	-5.09963	16.998	0.059	18.04	53705.37308	0.4698742	51.4929607132	-41.3830340688
HAC192	327.38834	-10.83955	17.04	0.081	18.37	53526.04666	0.5989078	44.764643344	-44.3257444596
HAC193	327.53983	-10.30017	16.967	0.072	17.96	53705.48236	0.5846271	45.5280093624	-44.2062374631
HAC194	327.83597	-3.85225	16.936	0.071	17.64	53705.33691	0.5219768	53.2814761725	-41.1682011791
HAC195	327.91451	-11.23821	16.619	0.073	15.34	53705.43207	0.6479794	44.6013100225	-44.9677182432
HAC196	327.95056	-10.84685	16.97	0.068	17.93	53705.22104	0.6670264	45.1144798927	-44.8185456546
HAC197	328.27928	-5.43077	16.58	0.056	15.14	53705.64241	0.6527925	51.82144806	-42.3936715138
HAC198	329.40955	-4.60550	17.082	0.088	18.74	53705.41046	0.586768	53.5935333968	-42.8934040191
