HAC91&	21:03:40.92&	-13:01:06.85&	V = 16.765&	D = 15.84&	-162.4&	MDM\
HAC92&	21:06:17.12&	-09:05:29.22&	V = 17.29&	D = 17.83&	   &	   \
HAC93&	21:06:33.66&	-12:12:57.46&	V = 17.285&	D = 19.97&	   &	   \
HAC94&	21:06:51.32&	-00:48:33.41&	V = 16.905&	D = 15.71&	-166&	MDM\
HAC95&	21:06:55.29&	-05:02:05.17&	V = 17.037&	D = 16.48&	   &	   \
HAC96&	21:07:00.61&	-00:39:52.16&	V = 16.877&	D = 15.23&	20&	MDM\
HAC97&	21:07:32.49&	-02:01:53.65&	V = 17.164&	D = 18.45&	   &	   \
HAC98&	21:07:34.81&	+01:25:06.46&	V = 17.055&	D = 15.57&	   &	   \
HAC99&	21:07:47.94&	-16:44:21.30&	V = 17.147&	D = 18.07&	   &	   \
HAC100&	21:07:49.63&	-15:03:37.84&	V = 17.027&	D = 16.83&	   &	   \
HAC101&	21:08:08.31&	-11:06:14.26&	V = 16.983&	D = 16.45&	   &	   \
HAC102&	21:08:30.92&	-13:29:02.83&	V = 16.808&	D = 15.31&	204.7&	MDM\
HAC103&	21:08:31.03&	-13:29:02.94&	V = 16.806&	D = 15.33&	   &	   \
HAC104&	21:09:00.42&	-04:53:33.76&	V = 17.163&	D = 15.82&	   &	   \
HAC105&	21:09:05.29&	-04:34:44.22&	V = 16.926&	D = 15.31&	-118.5&	MDM\
HAC106&	21:09:31.20&	-18:32:39.62&	V = 17.357&	D = 19.97&	   &	   \
HAC107&	21:09:46.23&	-14:47:34.84&	V = 16.836&	D = 15.31&	   &	   \
HAC108&	21:10:12.99&	-13:45:45.04&	V = 17.308&	D = 19.29&	   &	   \
HAC109&	21:10:42.44&	-11:04:54.62&	V = 17.298&	D = 19.38&	   &	   \
HAC110&	21:10:49.15&	-06:41:16.62&	V = 17.322&	D = 19.34&	   &	   \
HAC111&	21:10:54.78&	-00:09:29.52&	V = 17.087&	D = 16.29&	   &	   \
HAC112&	21:11:23.96&	-09:01:48.61&	V = 17.359&	D = 16.61&	   &	   \
HAC113&	21:11:56.32&	-08:32:40.49&	V = 17.23&	D = 17.6&	-60.8&	MDM\
HAC114&	21:12:06.21&	-06:10:07.03&	V = 16.881&	D = 15.29&	   &	   \
HAC115&	21:13:09.16&	+03:31:49.66&	V = 17.117&	D = 17.02&	-42.1&	MDM\
HAC116&	21:13:10.58&	-10:09:27.83&	V = 17.212&	D = 15.49&	   &	   \
HAC117&	21:13:38.87&	-04:39:30.92&	V = 17.401&	D = 19.51&	   &	   \
HAC118&	21:14:04.35&	-12:54:56.66&	V = 16.737&	D = 15.22&	   &	   \
HAC119&	21:14:28.88&	-15:28:32.99&	V = 16.9&	D = 15.93&	   &	   \
HAC120&	21:14:52.58&	-16:05:32.28&	V = 16.967&	D = 15.87&	101.5&	MDM\
HAC121&	21:15:01.88&	-01:56:38.26&	V = 16.923&	D = 16.49&	-53.0&	MDM\
HAC122&	21:15:04.74&	-13:50:46.43&	V = 17.085&	D = 17.35&	   &	   \
HAC123&	21:16:10.56&	+03:17:36.46&	V = 17.204&	D = 18.37&	   &	   \
HAC124&	21:16:10.89&	-06:58:10.74&	V = 17.483&	D = 18.51&	   &	   \
HAC125&	21:16:20.37&	-07:26:40.45&	V = 17.412&	D = 18.24&	   &	   \
HAC126&	21:16:39.59&	-05:03:46.69&	V = 17.093&	D = 16.99&	-104.3&	MDM\
